"Дата";"SKU";"Артикул";"Себестоимость за единицу товара";"Доп. расходы за единицу товара";"Магазин";"Статус"
"2025-09-01";2889355693;"BlueMetalBowl";142.7000;30.0000;"MaxiStore";"MAIN"
"2025-09-01";2889355784;"BowlBlueMini_01";142.1000;35.0000;"MaxiStore";"MAIN"
"2025-10-01";2889355784;"BowlBlueMini_01";146.0000;35.0000;"MaxiStore";"MAIN"
"2025-11-01";2889355784;"BowlBlueMini_01";145.0000;35.0000;"MaxiStore";"MAIN"
"2026-01-01";2889355784;"BowlBlueMini_01";181.0000;0.0000;"MaxiStore";"MAIN"
"2026-02-01";2889355784;"BowlBlueMini_01";183.0000;0.0000;"MaxiStore";"MAIN"
"2026-04-01";2889355784;"BowlBlueMini_01";200.5000;0.0000;"MaxiStore";"MAIN"
"2026-07-01";2889355784;"BowlBlueMini_01";199.4077;0.0000;"MaxiStore";"MAIN"
"2025-09-01";2889355808;"BowlGrayMini_01";141.5000;35.0000;"MaxiStore";"MAIN"
"2025-09-02";2889355808;"BowlGrayMini_01";145.3000;35.0000;"MaxiStore";"MAIN"
"2025-10-01";2889355808;"BowlGrayMini_01";146.0000;35.0000;"MaxiStore";"MAIN"
"2026-01-01";2889355808;"BowlGrayMini_01";192.0000;0.0000;"MaxiStore";"MAIN"
"2026-02-01";2889355808;"BowlGrayMini_01";194.0000;0.0000;"MaxiStore";"MAIN"
"2026-04-01";2889355808;"BowlGrayMini_01";207.0000;0.0000;"MaxiStore";"MAIN"
"2026-07-01";2889355808;"BowlGrayMini_01";202.9711;0.0000;"MaxiStore";"MAIN"
"2025-09-23";2889355643;"GreyMetalBowl";"";"";"MaxiStore";"MAIN"
"2024-08-01";1372025666;"Rack01";1306.1700;0.0000;"Mercurius";"MAIN"
"2025-02-01";1372025666;"Rack01";1308.0000;0.0000;"Mercurius";"MAIN"
"2026-06-01";4498013867;"Миска_двойная";197.0000;0.0000;"MaxiStore";"MAIN"
"2025-10-01";3034379862;"Набор_полок_выдв_бел";1360.0000;10.0000;"Mercurius";"MAIN"
"2026-01-01";3034379862;"Набор_полок_выдв_бел";1190.0000;0.0000;"Mercurius";"MAIN"
"2026-02-01";3034379862;"Набор_полок_выдв_бел";1188.0000;0.0000;"Mercurius";"MAIN"
"2026-04-01";3034379862;"Набор_полок_выдв_бел";1282.0000;0.0000;"Mercurius";"MAIN"
"2026-01-10";3361571448;"Органайзер_2_пол_PureWhite";641.0000;0.0000;"Mercurius";"MAIN"
"2026-04-01";3361571448;"Органайзер_2_пол_PureWhite";607.7000;0.0000;"Mercurius";"MAIN"
"2026-07-01";3361571448;"Органайзер_2_пол_PureWhite";591.0492;0.0000;"Mercurius";"MAIN"
"2024-08-01";1706096599;"Органайзер_2_пол_белый";605.0000;0.0000;"Mercurius";"MAIN"
"2025-03-01";1706096599;"Органайзер_2_пол_белый";578.5000;0.0000;"Mercurius";"MAIN"
"2025-04-29";1706096599;"Органайзер_2_пол_белый";535.0000;10.0000;"Mercurius";"MAIN"
"2025-05-01";1706096599;"Органайзер_2_пол_белый";521.5700;10.0000;"Mercurius";"MAIN"
"2025-06-01";1706096599;"Органайзер_2_пол_белый";512.8900;10.0000;"Mercurius";"MAIN"
"2025-07-01";1706096599;"Органайзер_2_пол_белый";498.5500;10.0000;"Mercurius";"MAIN"
"2025-08-01";1706096599;"Органайзер_2_пол_белый";491.8000;10.0000;"Mercurius";"MAIN"
"2025-09-01";1706096599;"Органайзер_2_пол_белый";480.2000;10.0000;"Mercurius";"MAIN"
"2025-10-01";1706096599;"Органайзер_2_пол_белый";490.3400;10.0000;"Mercurius";"MAIN"
"2025-11-01";1706096599;"Органайзер_2_пол_белый";487.0000;10.0000;"Mercurius";"MAIN"
"2026-01-01";1706096599;"Органайзер_2_пол_белый";535.0000;0.0000;"Mercurius";"MAIN"
"2026-02-01";1706096599;"Органайзер_2_пол_белый";555.0000;0.0000;"Mercurius";"MAIN"
"2026-07-01";1706096599;"Органайзер_2_пол_белый";545.5053;0.0000;"Mercurius";"MAIN"
"2024-08-01";1797654966;"Органайзер_2_пол_прозр";605.0000;0.0000;"Mercurius";"MAIN"
"2025-03-01";1797654966;"Органайзер_2_пол_прозр";592.7500;0.0000;"Mercurius";"MAIN"
"2025-04-29";1797654966;"Органайзер_2_пол_прозр";535.0000;10.0000;"Mercurius";"MAIN"
"2025-05-01";1797654966;"Органайзер_2_пол_прозр";511.9900;10.0000;"Mercurius";"MAIN"
"2025-06-01";1797654966;"Органайзер_2_пол_прозр";495.4900;10.0000;"Mercurius";"MAIN"
"2025-07-01";1797654966;"Органайзер_2_пол_прозр";479.6000;10.0000;"Mercurius";"MAIN"
"2025-08-01";1797654966;"Органайзер_2_пол_прозр";475.2000;10.0000;"Mercurius";"MAIN"
"2025-09-01";1797654966;"Органайзер_2_пол_прозр";469.4000;10.0000;"Mercurius";"MAIN"
"2025-10-01";1797654966;"Органайзер_2_пол_прозр";483.0000;10.0000;"Mercurius";"MAIN"
"2025-11-01";1797654966;"Органайзер_2_пол_прозр";481.0000;10.0000;"Mercurius";"MAIN"
"2026-01-01";1797654966;"Органайзер_2_пол_прозр";542.0000;0.0000;"Mercurius";"MAIN"
"2026-02-01";1797654966;"Органайзер_2_пол_прозр";559.0000;0.0000;"Mercurius";"MAIN"
"2026-07-01";1797654966;"Органайзер_2_пол_прозр";555.7891;0.0000;"Mercurius";"MAIN"
"2026-01-10";3361926954;"Органайзер_3_пол_PureWhite";879.0000;0.0000;"Mercurius";"MAIN"
"2026-04-01";3361926954;"Органайзер_3_пол_PureWhite";859.0000;0.0000;"Mercurius";"MAIN"
"2026-07-01";3361926954;"Органайзер_3_пол_PureWhite";850.5830;0.0000;"Mercurius";"MAIN"
"2025-05-05";2128609943;"Органайзер_3_пол_белый";618.0000;10.0000;"Mercurius";"MAIN"
"2025-07-01";2128609943;"Органайзер_3_пол_белый";648.1100;10.0000;"Mercurius";"MAIN"
"2025-08-01";2128609943;"Органайзер_3_пол_белый";650.1000;10.0000;"Mercurius";"MAIN"
"2025-09-01";2128609943;"Органайзер_3_пол_белый";657.0000;10.0000;"Mercurius";"MAIN"
"2025-10-01";2128609943;"Органайзер_3_пол_белый";670.0000;10.0000;"Mercurius";"MAIN"
"2026-01-01";2128609943;"Органайзер_3_пол_белый";712.0000;0.0000;"Mercurius";"MAIN"
"2026-02-01";2128609943;"Органайзер_3_пол_белый";779.0000;0.0000;"Mercurius";"MAIN"
"2026-04-01";2128609943;"Органайзер_3_пол_белый";770.3500;0.0000;"Mercurius";"MAIN"
"2026-07-01";2128609943;"Органайзер_3_пол_белый";758.2069;0.0000;"Mercurius";"MAIN"
"2025-05-01";2120763875;"Органайзер_3_пол_прозр";741.0000;10.0000;"Mercurius";"MAIN"
"2025-07-01";2120763875;"Органайзер_3_пол_прозр";667.0000;10.0000;"Mercurius";"MAIN"
"2025-08-01";2120763875;"Органайзер_3_пол_прозр";664.0000;10.0000;"Mercurius";"MAIN"
"2025-09-01";2120763875;"Органайзер_3_пол_прозр";660.8000;10.0000;"Mercurius";"MAIN"
"2025-10-01";2120763875;"Органайзер_3_пол_прозр";672.0000;10.0000;"Mercurius";"MAIN"
"2026-01-01";2120763875;"Органайзер_3_пол_прозр";735.0000;0.0000;"Mercurius";"MAIN"
"2026-02-01";2120763875;"Органайзер_3_пол_прозр";790.0000;0.0000;"Mercurius";"MAIN"
"2026-04-01";2120763875;"Органайзер_3_пол_прозр";785.0000;0.0000;"Mercurius";"MAIN"
"2026-07-01";2120763875;"Органайзер_3_пол_прозр";778.6223;0.0000;"Mercurius";"MAIN"
"2025-06-01";2128536048;"Органайзер_полка_бел";629.1700;10.0000;"Mercurius";"MAIN"
"2025-10-01";2128536048;"Органайзер_полка_бел";624.0000;10.0000;"Mercurius";"MAIN"
"2026-01-01";2128536048;"Органайзер_полка_бел";652.0000;0.0000;"Mercurius";"MAIN"
"2025-05-12";2128475059;"Органайзер_полка_черн";603.0000;10.0000;"Mercurius";"MAIN"
"2025-06-01";2128475059;"Органайзер_полка_черн";606.3100;10.0000;"Mercurius";"MAIN"
"2025-07-01";2128475059;"Органайзер_полка_черн";614.4800;10.0000;"Mercurius";"MAIN"
"2025-10-01";2128475059;"Органайзер_полка_черн";605.0000;10.0000;"Mercurius";"MAIN"
"2026-01-01";2128475059;"Органайзер_полка_черн";666.0000;0.0000;"Mercurius";"MAIN"
"2026-02-01";2128475059;"Органайзер_полка_черн";674.0000;0.0000;"Mercurius";"MAIN"
"2026-07-01";2128475059;"Органайзер_полка_черн";657.8034;0.0000;"Mercurius";"MAIN"
"2025-04-15";2071667218;"Полка_выдв_18см";474.0000;10.0000;"Mercurius";"MAIN"
"2025-04-30";2071667218;"Полка_выдв_18см";474.0000;10.0000;"Mercurius";"MAIN"
"2025-09-01";2071667218;"Полка_выдв_18см";474.0000;10.0000;"Mercurius";"MAIN"
"2025-10-01";2071667218;"Полка_выдв_18см";389.0000;10.0000;"Mercurius";"MAIN"
"2025-11-01";2071667218;"Полка_выдв_18см";384.0000;10.0000;"Mercurius";"MAIN"
"2025-04-15";2071666870;"Полка_выдв_27см";511.0000;10.0000;"Mercurius";"MAIN"
"2025-04-30";2071666870;"Полка_выдв_27см";511.0000;10.0000;"Mercurius";"MAIN"
"2025-07-01";2071666870;"Полка_выдв_27см";509.5500;10.0000;"Mercurius";"MAIN"
"2025-08-01";2071666870;"Полка_выдв_27см";495.1800;10.0000;"Mercurius";"MAIN"
"2025-09-01";2071666870;"Полка_выдв_27см";486.0000;10.0000;"Mercurius";"MAIN"
"2025-10-01";2071666870;"Полка_выдв_27см";517.2500;10.0000;"Mercurius";"MAIN"
"2025-11-01";2071666870;"Полка_выдв_27см";519.0000;10.0000;"Mercurius";"MAIN"
"2026-01-01";2071666870;"Полка_выдв_27см";532.0000;0.0000;"Mercurius";"MAIN"
"2026-04-01";2071666870;"Полка_выдв_27см";553.0000;0.0000;"Mercurius";"MAIN"
"2026-07-01";2071666870;"Полка_выдв_27см";552.7116;0.0000;"Mercurius";"MAIN"
"2025-10-01";3066076381;"Этажерка_20_белая";1352.0000;10.0000;"Mercurius";"MAIN"
"2025-11-01";3066076381;"Этажерка_20_белая";1352.0000;10.0000;"Mercurius";"MAIN"
"2026-01-01";3066076381;"Этажерка_20_белая";1390.0000;0.0000;"Mercurius";"MAIN"
"2026-06-01";4504778701;"Этажерка_25_белая";1662.0000;0.0000;"Mercurius";"MAIN"
"2026-07-01";4504778701;"Этажерка_25_белая";1661.4757;0.0000;"Mercurius";"MAIN"
"2025-02-08";1863089695;"111";"";"";"Mercurius";"ARCHIVED"
"2024-01-27";1406194912;"1111";"";"";"Mercurius";"ARCHIVED"
"2024-02-24";1434156775;"123454321";"";"";"Mercurius";"ARCHIVED"
"2024-01-27";1406196625;"2222";"";"";"Mercurius";"ARCHIVED"
"2024-02-29";1443078749;"98676";"";"";"Mercurius";"ARCHIVED"
"2024-08-01";1414504992;"BlueMetalBowl";220.2000;0.0000;"Mercurius";"ARCHIVED"
"2025-02-01";1414504992;"BlueMetalBowl";203.1600;0.0000;"Mercurius";"ARCHIVED"
"2025-03-01";1414504992;"BlueMetalBowl";203.7000;0.0000;"Mercurius";"ARCHIVED"
"2025-04-01";1414504992;"BlueMetalBowl";188.5900;0.0000;"Mercurius";"ARCHIVED"
"2025-07-01";1414504992;"BlueMetalBowl";144.0900;30.0000;"Mercurius";"ARCHIVED"
"2025-08-01";1414504992;"BlueMetalBowl";142.7000;30.0000;"Mercurius";"ARCHIVED"
"2024-08-01";1388918072;"BowlBlueMini_01";230.2000;0.0000;"Mercurius";"ARCHIVED"
"2025-02-01";1388918072;"BowlBlueMini_01";227.7800;0.0000;"Mercurius";"ARCHIVED"
"2025-03-01";1388918072;"BowlBlueMini_01";215.4800;0.0000;"Mercurius";"ARCHIVED"
"2025-04-01";1388918072;"BowlBlueMini_01";207.7500;0.0000;"Mercurius";"ARCHIVED"
"2025-06-01";1388918072;"BowlBlueMini_01";147.0900;35.0000;"Mercurius";"ARCHIVED"
"2025-07-01";1388918072;"BowlBlueMini_01";144.4900;35.0000;"Mercurius";"ARCHIVED"
"2025-08-01";1388918072;"BowlBlueMini_01";142.4000;35.0000;"Mercurius";"ARCHIVED"
"2025-09-01";1388918072;"BowlBlueMini_01";142.1000;35.0000;"Mercurius";"ARCHIVED"
"2024-08-01";1368918716;"BowlGrayMini_01";247.1800;0.0000;"Mercurius";"ARCHIVED"
"2025-02-01";1368918716;"BowlGrayMini_01";219.8200;0.0000;"Mercurius";"ARCHIVED"
"2025-03-01";1368918716;"BowlGrayMini_01";212.6800;0.0000;"Mercurius";"ARCHIVED"
"2025-04-01";1368918716;"BowlGrayMini_01";198.6000;0.0000;"Mercurius";"ARCHIVED"
"2025-06-01";1368918716;"BowlGrayMini_01";140.8400;35.0000;"Mercurius";"ARCHIVED"
"2025-07-01";1368918716;"BowlGrayMini_01";140.8300;35.0000;"Mercurius";"ARCHIVED"
"2025-08-01";1368918716;"BowlGrayMini_01";141.7000;35.0000;"Mercurius";"ARCHIVED"
"2025-09-01";1368918716;"BowlGrayMini_01";141.5000;35.0000;"Mercurius";"ARCHIVED"
"2025-02-27";1905154118;"BowlGreyMini_FBS";"";"";"Mercurius";"ARCHIVED"
"2023-09-23";1206631495;"BowlWhite_01";"";"";"Mercurius";"ARCHIVED"
"2023-10-20";1252247845;"Chr.Decorations_01";"";"";"Mercurius";"ARCHIVED"
"2023-10-17";1247131523;"EnvelopeNY_01";"";"";"Mercurius";"ARCHIVED"
"2024-08-01";1739221097;"GreyMetalBowl";190.6000;0.0000;"Mercurius";"ARCHIVED"
"2025-03-01";1739221097;"GreyMetalBowl";181.1000;0.0000;"Mercurius";"ARCHIVED"
"2025-04-01";1739221097;"GreyMetalBowl";172.7900;0.0000;"Mercurius";"ARCHIVED"
"2025-07-01";1739221097;"GreyMetalBowl";132.2600;30.0000;"Mercurius";"ARCHIVED"
"2025-08-01";1739221097;"GreyMetalBowl";131.0800;30.0000;"Mercurius";"ARCHIVED"
"2024-02-29";1443078701;"manlouo8oest78vaeybe";"";"";"Mercurius";"ARCHIVED"
"2024-08-01";1687119427;"Rack02";1216.7000;0.0000;"Mercurius";"ARCHIVED"
"2025-02-01";1687119427;"Rack02";1309.0000;0.0000;"Mercurius";"ARCHIVED"
"2024-01-19";1394686211;"test";"";"";"Mercurius";"ARCHIVED"
"2023-09-30";1217173792;"ToiletBrushGreyMT03";"";"";"Mercurius";"ARCHIVED"
"2025-05-03";2094993527;"Крепед_для_полки_2";"";"";"Mercurius";"ARCHIVED"
"2025-05-03";2094982406;"Крепеж_для_полки";"";"";"Mercurius";"ARCHIVED"
"2024-03-24";1497158720;"Миска для собак мелких пород 02";"";"";"Mercurius";"ARCHIVED"
"2024-08-01";1414508069;"Миска для собак мелких пород 03";230.0000;0.0000;"Mercurius";"ARCHIVED"
"2025-09-23";2889355575;"Миска для собак мелких пород 03";"";"";"MaxiStore";"ARCHIVED"
"2025-10-01";2978007204;"Орг_4_3_полки_бел_уц";670.0000;10.0000;"Mercurius";"ARCHIVED"
"2025-10-01";3033246922;"Органайзер_2_пол_белый_уценка";490.3400;10.0000;"Mercurius";"ARCHIVED"
"2025-10-01";3032138406;"Органайзер_2_прозр_уценк";483.0000;10.0000;"Mercurius";"ARCHIVED"
"2025-10-01";2977916718;"Органайзер_3_уцен";670.8000;10.0000;"Mercurius";"ARCHIVED"
"2025-10-01";3033256461;"Органайзер_полка_черн_уценка";605.0000;10.0000;"Mercurius";"ARCHIVED"
"2024-10-24";1739235271;"полка";1.0000;0.0000;"Mercurius";"ARCHIVED"
"2024-10-24";1739621558;"полка 2";1.0000;0.0000;"Mercurius";"ARCHIVED"
"2024-10-24";1739685819;"полка 3";1.0000;0.0000;"Mercurius";"ARCHIVED"
"2025-09-01";2850659047;"Полка_выдв_27см_черн";480.0000;10.0000;"Mercurius";"ARCHIVED"
"2025-10-01";2850659047;"Полка_выдв_27см_черн";490.0000;10.0000;"Mercurius";"ARCHIVED"
"2025-12-22";3271867387;"Полка_на_стол";718.0000;0.0000;"Mercurius";"ARCHIVED"
"2025-01-26";1848461867;"Полка под раковину_3";"";"";"Mercurius";"ARCHIVED"
"2024-10-26";1741517439;"стеллаж 1";"";"";"Mercurius";"ARCHIVED"
"2024-10-26";1741523901;"стеллаж 2";"";"";"Mercurius";"ARCHIVED"
"2024-10-26";1741526882;"стеллаж 3";"";"";"Mercurius";"ARCHIVED"
"2024-02-10";1419917923;"товар1245";"";"";"Mercurius";"ARCHIVED"
"2026-02-20";3545278027;"Шайба_М8";10.0000;0.0000;"Mercurius";"ARCHIVED"
