Дата	Кабинет	Артикул	SKU	Остаток до	Себестоимость до	Отгружено	Себестоимость отгрузки	Себестоимость после	OpID	Выгружено в КАН	Источник
2026-08-01	MaxiStore	BowlBlueMini_01	2889355784					199.41	НАЧАЛЬНАЯ ТОЧКА		остаток и себестоимость на 01.08.2026
2026-08-06	MaxiStore	BowlBlueMini_01	2889355784	380.87	199.41	104.0	199.23	199.37	5863870a-48fe-4fd8-be59-b545fd324320		восстановлено по оборотной ведомости
2026-08-01	MaxiStore	BowlGrayMini_01	2889355808					202.97	НАЧАЛЬНАЯ ТОЧКА		остаток и себестоимость на 01.08.2026
2026-08-22	MaxiStore	BowlGrayMini_01	2889355808	225.57	202.97	13.0	1075.75	250.53	45f0bc6f-008c-4c37-a8b5-3a75f7dedaf4		восстановлено по оборотной ведомости
2026-08-01	MaxiStore	Миска_двойная	4498013867					197.0	НАЧАЛЬНАЯ ТОЧКА		остаток и себестоимость на 01.08.2026
2026-08-25	MaxiStore	Миска_двойная	4498013867	0.0	197.0	84.0	200.78	200.78	d6e19176-1077-4ecc-94b0-10662b1b05ac-1		восстановлено по оборотной ведомости
2026-08-25	MaxiStore	Миска_двойная	4498013867	84.0	200.78	210.0	200.78	200.78	d6e19176-1077-4ecc-94b0-10662b1b05ac-2		восстановлено по оборотной ведомости
2026-08-01	Mercurius	Набор_полок_выдв_бел	3034379862					1282.0	НАЧАЛЬНАЯ ТОЧКА		остаток и себестоимость на 01.08.2026
2026-08-25	Mercurius	Набор_полок_выдв_бел	3034379862	0.0	1282.0	40.0	1653.82	1653.82	fe030a3b-1f2d-4c01-9e81-4c15dc7114a7		восстановлено по оборотной ведомости
2026-08-01	Mercurius	Органайзер_2_пол_PureWhite	3361571448					591.05	НАЧАЛЬНАЯ ТОЧКА		остаток и себестоимость на 01.08.2026
2026-08-01	Mercurius	Органайзер_2_пол_PureWhite	3361571448	325.0	591.05	40.0	555.43	587.15	9e1c941d-7b8c-4c38-b81e-b4f774f5c0c9		восстановлено по оборотной ведомости
2026-08-22	Mercurius	Органайзер_2_пол_PureWhite	3361571448	300.17	587.15	8.0	567.64	586.64	07ec2e03-fd96-4cca-a237-49b2d4369012		восстановлено по оборотной ведомости
2026-08-01	Mercurius	Органайзер_2_пол_белый	1706096599					545.51	НАЧАЛЬНАЯ ТОЧКА		остаток и себестоимость на 01.08.2026
2026-08-01	Mercurius	Органайзер_2_пол_белый	1706096599	433.0	545.51	8.0	517.51	545.0	78d91eae-9eb6-4542-97f9-1d711273d5c5		восстановлено по оборотной ведомости
2026-08-01	Mercurius	Органайзер_2_пол_белый	1706096599	441.0	545.0	48.0	536.09	544.12	17691bff-83e7-449d-9148-0a93961b4e5e		восстановлено по оборотной ведомости
2026-08-02	Mercurius	Органайзер_2_пол_белый	1706096599	486.26	544.12	5.0	570.48	544.39	dce6d218-18d2-4d0a-bdb2-0591e7afd6b3		восстановлено по оборотной ведомости
2026-08-02	Mercurius	Органайзер_2_пол_белый	1706096599	491.26	544.39	20.0	557.28	544.9	31b9d789-99ee-4f24-8ab3-969d2eb36c00		восстановлено по оборотной ведомости
2026-08-04	Mercurius	Органайзер_2_пол_белый	1706096599	505.78	544.9	24.0	548.3	545.05	07b4c409-9053-4d05-baec-1337905e30f1		восстановлено по оборотной ведомости
2026-08-01	Mercurius	Органайзер_2_пол_прозр	1797654966					555.79	НАЧАЛЬНАЯ ТОЧКА		остаток и себестоимость на 01.08.2026
2026-08-01	Mercurius	Органайзер_3_пол_PureWhite	3361926954					850.58	НАЧАЛЬНАЯ ТОЧКА		остаток и себестоимость на 01.08.2026
2026-08-01	Mercurius	Органайзер_3_пол_PureWhite	3361926954	190.0	850.58	30.0	753.91	837.4	59740e06-7e89-49d1-8536-6903d0e853ce		восстановлено по оборотной ведомости
2026-08-02	Mercurius	Органайзер_3_пол_PureWhite	3361926954	219.09	837.4	11.0	786.46	834.96	d782526a-9112-4a3c-8e53-3a9ae4cdf663		восстановлено по оборотной ведомости
2026-08-06	Mercurius	Органайзер_3_пол_PureWhite	3361926954	226.43	834.96	12.0	773.62	831.88	b3c9b165-4371-4397-a524-5644ca20bcae		восстановлено по оборотной ведомости
2026-08-07	Mercurius	Органайзер_3_пол_PureWhite	3361926954	237.52	831.88	6.0	785.84	830.74	b43bd4cf-2ee5-4c0e-a51d-00dd2ad1b3ce		восстановлено по оборотной ведомости
2026-08-22	Mercurius	Органайзер_3_пол_PureWhite	3361926954	229.83	830.74	6.0	766.42	829.11	07ec2e03-fd96-4cca-a237-49b2d4369012		восстановлено по оборотной ведомости
2026-08-01	Mercurius	Органайзер_3_пол_белый	2128609943					758.21	НАЧАЛЬНАЯ ТОЧКА		остаток и себестоимость на 01.08.2026
2026-08-02	Mercurius	Органайзер_3_пол_белый	2128609943	204.7	758.21	18.0	773.81	759.47	d782526a-9112-4a3c-8e53-3a9ae4cdf663		восстановлено по оборотной ведомости
2026-08-07	Mercurius	Органайзер_3_пол_белый	2128609943	216.17	759.47	18.0	773.02	760.51	b43bd4cf-2ee5-4c0e-a51d-00dd2ad1b3ce		восстановлено по оборотной ведомости
2026-08-01	Mercurius	Органайзер_3_пол_прозр	2120763875					778.62	НАЧАЛЬНАЯ ТОЧКА		остаток и себестоимость на 01.08.2026
2026-08-04	Mercurius	Органайзер_3_пол_прозр	2120763875	235.52	778.62	1.0	990.55	779.52	04ab2ce6-69f3-4ec2-b988-40e073e8308c		восстановлено по оборотной ведомости
2026-08-07	Mercurius	Органайзер_3_пол_прозр	2120763875	231.04	779.52	18.0	785.76	779.97	b43bd4cf-2ee5-4c0e-a51d-00dd2ad1b3ce		восстановлено по оборотной ведомости
2026-08-22	Mercurius	Органайзер_3_пол_прозр	2120763875	221.65	779.97	6.0	753.79	779.28	07ec2e03-fd96-4cca-a237-49b2d4369012		восстановлено по оборотной ведомости
2026-08-01	Mercurius	Органайзер_полка_черн	2128475059					657.8	НАЧАЛЬНАЯ ТОЧКА		остаток и себестоимость на 01.08.2026
2026-08-25	Mercurius	Органайзер_полка_черн	2128475059	206.35	657.8	30.0	782.17	673.59	fe030a3b-1f2d-4c01-9e81-4c15dc7114a7		восстановлено по оборотной ведомости
2026-08-01	Mercurius	Полка_выдв_27см	2071666870					552.71	НАЧАЛЬНАЯ ТОЧКА		остаток и себестоимость на 01.08.2026
2026-08-23	Mercurius	Полка_выдв_27см	2071666870	0.0	552.71	6.0	667.5	667.5	444547eb-2c66-4b35-82d2-c432d7b1dd67		восстановлено по оборотной ведомости
2026-08-25	Mercurius	Полка_выдв_27см	2071666870	6.0	667.5	126.0	658.82	659.21	fe030a3b-1f2d-4c01-9e81-4c15dc7114a7		восстановлено по оборотной ведомости
2026-08-01	Mercurius	Этажерка_25_белая	4504778701					1661.48	НАЧАЛЬНАЯ ТОЧКА		остаток и себестоимость на 01.08.2026
